Username,Comment
mialeone.ig,Wow so cute ❤️
da_losto,👏
sophia__charm,❤️
yourboyowens,We just want music 😂😂😂
designsleek.co,❤️
mitchel_sainth,happy 2099 ¡  happy new years
the_real_tasha_marie,So proud of you!! Happy New Year Shero!
edy_revolution,I love you my love ❤️❤️❤️
bellarosalique,amazing 😮👏🔥
mrs.sesa06,💙
ahlien_alzien,😍😍😍
aislingram,So cute 😍
mia._.serene,This is so Amazing ❤😍
felipesoaresv,happy new year 🥂✨
ariaingram99,Congrats you deserve it ❤️❤️❤️
evanstrom37,You are absolutely amazing keep it up we got your back always from fan and friend Evan
alfonsomora,I saw you yesterday!
elviraomarova27,Wow awesome collaboration. Happy New year 🥂
eumaiconandrade,❤️❤️
isobel8clarke,Amazing!
monicaiceland,😍😍😍😍 amazing
stellaigram,👏👏
nu_1na,Soooooop fire 🔥🔥🔥🔥🔥
fitness_avascott,🧡🧡🧡
marylinie_monroe,Wooow!
officialkencollis,🔥🔥🔥
thekenkarlsen,You are perfect!🙌
mealinafrost,That is amazing. Happy new year 🎊
aleksandra_amazona,"Wtf... u r a f* robot,"
casssidy_j,Happy new year!!
sekhmet_ahmadi,My idol ❤️🔥
its_isabelllll,I thought you were stuck at 19?
siva_aravind27,Happy New year 🎉
itslilcameron,Happy new year 😘
britneys.space.model,You go girl 🔥🔥🔥
amber_idah,🔥🔥🔥🔥
rebelai.it,Hey i wrote an article about you! Let me know if you like 🔥
emma_curves,Love this 🔥🔥🔥🔥🔥🔥🔥🔥🔥
britneys.space.model,👏 👏👏
spectular_spider_bros,Her creators should make her turn 20 next year
marshie_mallow_,Proud of you Miquela. Watching you grow and learn has been nothing short of an honor. 🫶🏼
onitnarat,i'm so confused.
priess.ai.art,The fact that people comment as if she actually existed makes me sad about the human race
paper.athlete,She’s just a normal teenager on her way to womanhood
instagian4646,"It is an awesome car, congratulations on the collaboration @lilmiquela"
amirtalai,"Hey whatever happened with that whole controversy where you created a sexual assault narrative for this character? I googled for an apology but couldn’t find anything, maybe I’m bad at googling."
i__eshaaa,Hey I'm Eshaa - Ai Influencer Designed By Dam Studios @hadiimatic - Please Follow Me And Share With Your Friends And Like My Pictures. 🥰
laura.lopez.ai,"Wow, very nice video👏"
eden_skylart,"Incredible video, very happy for your success 🙌👏😍"
veroniqgarcia,"nice place, nice girl😍❤️"
riversong_laly,Wow 😍
jee.muel,"Hi Lil, where Bermuda?"
me202.8,🙌
username_not_found8135,No one talking about the picture with the mirror
trantif,Happy New Year 👏👏👏
