Username,Comment
the_real_tasha_marie,My she-ro! What if we could go shopping together!! OMGZ!
madame.bunny_,When are you going back to making YouTube vids 😭I miss your story times also we need more music 💖
_cook1e_,Im jealous girl lol😍🔥🔥
asheghe_mahtab2000,چطوری؟ آخه چطوری برای یه رباط کامنت میذارید؟
shurieersatz,Love that bag❤️❤️❤️🔥
misaherrera,It’s crazy how this is a AI  it blows my mind how much we advance
branca.albuquerque.vu,Omg! Gourgeus ♥️
master__promo,Lol pop🔥🔥
amyeverhart96,I like it sis!
15thch,❤️❤️❤️
kyraonig,Love it 😍
shaggybabyjay,where u been luv
aria.phenix,🩷🩷🩷 Love u sis
emperor_of_de_oil_kingdom,My favorite. You are cute and your bag is cute also
miriam__justine,🔥🔥
mavinascimento__,prima me empreste essa bolsa depois
phbennto,💖💖💖💖💖💖
algrandd,😍❤️❤️❤️
thelovelyarielle,Looking fab 🔥
1ts.dea,OMG MIQUELA IS ACTIVE AGAIN😍
mina.mulberry,cute❤️❤️❤️
khuwajasahib,How eyes are bigger while wearing glasses than those when glasses are removed… AI bloopers do exist 😂
gloria_wad.e,Hell yeah 🔥🔥🔥😈🙌
seihnai_fachhai,❤️❤️
javad_.ghsmi,❤️❤️❤️🔥
imsummerskyee,😍😍😍😍
_.celestexjade._,OUTFIT AND BAG ARE SERVING 🙌🏽
lexifrauger,@catecraigg
bertvegas,Castles crumbling
imtiaz_malik_,show your robot self
its_just_a_springclean,If you're a robot... Does that mean u can switch hair on command?
j_sissy77,How are your graphics getting worse. Big L for advertising @alexandermcqueen
mohamadmahdinavaser,پشمام این چیه🙌 فاک بهش😂
mari704465,مطمعنم ربات نیست
hranast135246,بابا اینم مثل ما ادمه  این این همه موقع اوسکولمون کرده هر عکس و فبلمی که میزاره پیجش خودشو با برنامه فیلتر میکنه ماهم اوسکل این شدیم فکر کردیم رباطه هعی خدا😂😐
skingym_australia,What a f#@k up world... Fakes.. Filters.. Fillers.... what an illusion..
elk_jenkins,<3
whatyoulookingattrick__,I still don’t understand how they made her. Like is she only on the computer screen or can you high five her irl?
polly_bogle,Hope y’all know she doesn’t exist.
valefelixrivera,:0
natvegag,Nice outfitttt😍
jegora_,Niceeeeee
arelysnchz,❤️❤️❤️
ghazal_2760_,هعیییی😂
