Username,Comment,Classification
mialeone.ig,Wow so cute ❤️,Positive
da_losto,👏,Neutral
sophia__charm,❤️,Neutral
yourboyowens,We just want music 😂😂😂,Neutral
designsleek.co,❤️,Neutral
mitchel_sainth,happy 2099 ¡  happy new years,Positive
the_real_tasha_marie,So proud of you!! Happy New Year Shero!,Positive
edy_revolution,I love you my love ❤️❤️❤️,Positive
bellarosalique,amazing 😮👏🔥,Positive
mrs.sesa06,💙,Neutral
ahlien_alzien,😍😍😍,Neutral
aislingram,So cute 😍,Positive
mia._.serene,This is so Amazing ❤😍,Positive
felipesoaresv,happy new year 🥂✨,Positive
ariaingram99,Congrats you deserve it ❤️❤️❤️,Neutral
evanstrom37,You are absolutely amazing keep it up we got your back always from fan and friend Evan,Positive
alfonsomora,I saw you yesterday!,Neutral
elviraomarova27,Wow awesome collaboration. Happy New year 🥂,Positive
eumaiconandrade,❤️❤️,Neutral
isobel8clarke,Amazing!,Positive
monicaiceland,😍😍😍😍 amazing,Positive
stellaigram,👏👏,Neutral
nu_1na,Soooooop fire 🔥🔥🔥🔥🔥,Neutral
fitness_avascott,🧡🧡🧡,Neutral
marylinie_monroe,Wooow!,Neutral
officialkencollis,🔥🔥🔥,Neutral
thekenkarlsen,You are perfect!🙌,Neutral
mealinafrost,That is amazing. Happy new year 🎊,Positive
aleksandra_amazona,"Wtf... u r a f* robot,",Negative
casssidy_j,Happy new year!!,Positive
sekhmet_ahmadi,My idol ❤️🔥,Neutral
its_isabelllll,I thought you were stuck at 19?,Neutral
siva_aravind27,Happy New year 🎉,Positive
itslilcameron,Happy new year 😘,Positive
britneys.space.model,You go girl 🔥🔥🔥,Neutral
amber_idah,🔥🔥🔥🔥,Neutral
rebelai.it,Hey i wrote an article about you! Let me know if you like 🔥,Neutral
emma_curves,Love this 🔥🔥🔥🔥🔥🔥🔥🔥🔥,Positive
britneys.space.model,👏 👏👏,Neutral
spectular_spider_bros,Her creators should make her turn 20 next year,Neutral
marshie_mallow_,Proud of you Miquela. Watching you grow and learn has been nothing short of an honor. 🫶🏼,Positive
onitnarat,i'm so confused.,Negative
priess.ai.art,The fact that people comment as if she actually existed makes me sad about the human race,Negative
paper.athlete,She’s just a normal teenager on her way to womanhood,Positive
instagian4646,"It is an awesome car, congratulations on the collaboration @lilmiquela",Positive
amirtalai,"Hey whatever happened with that whole controversy where you created a sexual assault narrative for this character? I googled for an apology but couldn’t find anything, maybe I’m bad at googling.",Positive
i__eshaaa,Hey I'm Eshaa - Ai Influencer Designed By Dam Studios @hadiimatic - Please Follow Me And Share With Your Friends And Like My Pictures. 🥰,Neutral
laura.lopez.ai,"Wow, very nice video👏",Positive
eden_skylart,"Incredible video, very happy for your success 🙌👏😍",Positive
veroniqgarcia,"nice place, nice girl😍❤️",Positive
riversong_laly,Wow 😍,Positive
jee.muel,"Hi Lil, where Bermuda?",Neutral
me202.8,🙌,Neutral
username_not_found8135,No one talking about the picture with the mirror,Neutral
trantif,Happy New Year 👏👏👏,Positive
