Username,Comment,Classification
the_real_tasha_marie,My she-ro! What if we could go shopping together!! OMGZ!,Neutral
madame.bunny_,When are you going back to making YouTube vids 😭I miss your story times also we need more music 💖,Positive
_cook1e_,Im jealous girl lol😍🔥🔥,Neutral
asheghe_mahtab2000,چطوری؟ آخه چطوری برای یه رباط کامنت میذارید؟,Neutral
shurieersatz,Love that bag❤️❤️❤️🔥,Positive
misaherrera,It’s crazy how this is a AI  it blows my mind how much we advance,Negative
branca.albuquerque.vu,Omg! Gourgeus ♥️,Neutral
master__promo,Lol pop🔥🔥,Positive
amyeverhart96,I like it sis!,Neutral
15thch,❤️❤️❤️,Neutral
kyraonig,Love it 😍,Positive
shaggybabyjay,where u been luv,Neutral
aria.phenix,🩷🩷🩷 Love u sis,Positive
emperor_of_de_oil_kingdom,My favorite. You are cute and your bag is cute also,Positive
miriam__justine,🔥🔥,Neutral
mavinascimento__,prima me empreste essa bolsa depois,Neutral
phbennto,💖💖💖💖💖💖,Neutral
algrandd,😍❤️❤️❤️,Neutral
thelovelyarielle,Looking fab 🔥,Neutral
1ts.dea,OMG MIQUELA IS ACTIVE AGAIN😍,Negative
mina.mulberry,cute❤️❤️❤️,Neutral
khuwajasahib,How eyes are bigger while wearing glasses than those when glasses are removed… AI bloopers do exist 😂,Neutral
gloria_wad.e,Hell yeah 🔥🔥🔥😈🙌,Neutral
seihnai_fachhai,❤️❤️,Neutral
javad_.ghsmi,❤️❤️❤️🔥,Neutral
imsummerskyee,😍😍😍😍,Neutral
_.celestexjade._,OUTFIT AND BAG ARE SERVING 🙌🏽,Neutral
lexifrauger,@catecraigg,Neutral
bertvegas,Castles crumbling,Neutral
imtiaz_malik_,show your robot self,Neutral
its_just_a_springclean,If you're a robot... Does that mean u can switch hair on command?,Negative
j_sissy77,How are your graphics getting worse. Big L for advertising @alexandermcqueen,Negative
mohamadmahdinavaser,پشمام این چیه🙌 فاک بهش😂,Neutral
mari704465,مطمعنم ربات نیست,Neutral
hranast135246,بابا اینم مثل ما ادمه  این این همه موقع اوسکولمون کرده هر عکس و فبلمی که میزاره پیجش خودشو با برنامه فیلتر میکنه ماهم اوسکل این شدیم فکر کردیم رباطه هعی خدا😂😐,Neutral
skingym_australia,What a f#@k up world... Fakes.. Filters.. Fillers.... what an illusion..,Neutral
elk_jenkins,<3,Positive
whatyoulookingattrick__,I still don’t understand how they made her. Like is she only on the computer screen or can you high five her irl?,Positive
polly_bogle,Hope y’all know she doesn’t exist.,Neutral
valefelixrivera,:0,Neutral
natvegag,Nice outfitttt😍,Positive
jegora_,Niceeeeee,Neutral
arelysnchz,❤️❤️❤️,Neutral
ghazal_2760_,هعیییی😂,Neutral
