Username,Comment,Classification
lookingthroughhercloset,I love your robe. So chic,Positive
pynappelexpress,where is your seashell wall print from? 😍🐚,Neutral
vivadiwa,❤️❤️❤️,Neutral
jojomikita,This was cute 🌲😀,Positive
alexandraifborges,😍😍😍,Neutral
bhear___,"If I could choose anyone to narrate my life, It’d be you lol.",Positive
jornaloratual,Beleza natural arte parabéns linda!❤️,Positive
brooksnader,Read me a bedtime story,Neutral
lamuse.gems,😍😍,Neutral
johnny.z.smyth,💚🎄💚,Neutral
marlen45302018,😍😍😍😍,Neutral
jaykate,"If only I could bounce around on my knees like that, can you link your knees on your Amazon storefront?",Neutral
lboogey5,How do I find the blanket,Neutral
verbenahomeandgarden,Links,Neutral
danielmirkin4,😍,Neutral
isagmraes,"I actually love you and your content, but you sound like you smoke an O a day. I mean, I still love it, but damn.",Positive
weanjoe8319027114joewest,💚🤍💖❤️‍🔥💝💛,Neutral
erin___kj,@alliekilleen,Neutral
vikagaryaeva,"@rocky_barnes The robe is not silk, it’s 100% polyester ☹️",Neutral
