Username,Comment,Classification
its_me_abrar_500,Follow me ❤️♥️❤️♥️❤️♥️,Neutral
islandready1,Slide 5 🖤my fave,Neutral
bibiandkim,🖤🖤🖤,Neutral
boss_babe_yedid_,Wow gorgeous 😍,Positive
themayfieldgroup,Those pants are everything🖤,Neutral
islandready1,Gorgeous 🖤✨,Positive
teresajesusstyle,❤️❤️❤️,Neutral
jirribar,Beautiful I love you Rachel ❤️❤️❤️❤️,Positive
anastasiamidas,wow flawless!!! 😍,Positive
estefania_suarez_santamaria,Súper cool 🔥,Positive
mmiranda532,😍,Neutral
cazabat,Just one word .... beauty !!! 😍🥰❤️,Neutral
johnny.z.smyth,Ever so lovely 🤍,Positive
brittdelano,Oh ok cutie,Positive
ochoday89,🖤🖤,Neutral
vivadiwa,🔥🔥🔥,Neutral
otpusk2288,🖤💥🖤💥🖤💥🖤💥🖤,Neutral
bell_fashions,👏👏,Neutral
chefbreatchristophe,La classe 💚🌼💚,Neutral
music.city.usa,"Yup, I would be wanting a footie massage if I had to wear hi heels 😂",Neutral
jamiealvarado,@rocky_barnes obsessed,Negative
wink_pic,S Pretty 😍,Positive
mamabijoux,Always the best jewelry stacking 😍,Positive
dr_bridget,Stunningg 🔥,Neutral
dtet754,🔥💯🔥💯🔥💯🔥💯,Neutral
its_me_abrar_500,🔥,Neutral
almog300,I love your style 🙌❤️,Positive
_michael_corleone_,💣,Neutral
natashagalkina,you look amazing 💓💥🔝 💓💥🔝,Positive
danielmirkin4,🔥😍,Neutral
kelsey_white,😍,Neutral
its_me_abrar_500,🔥,Neutral
rube14i,@california.place 💰⃤,Neutral
its_me_abrar_500,🔥,Neutral
its_me_abrar_500,🔥,Neutral
its_me_abrar_500,🔥,Neutral
its_me_abrar_500,🔥,Neutral
its_me_abrar_500,🔥,Neutral
its_me_abrar_500,🔥,Neutral
its_me_abrar_500,🔥,Neutral
shopultrafine,Loving this! ❤️❤️❤️,Positive
ro.luna.gp,hi,Neutral
wcsjr58,Beautiful let's try nothing 😍😍😍😍😍😍🔥🔥🔥,Positive
markobedoya90,She's gorgeous ❤️,Positive
doughenderson1340,MonTana X ft DjEago4️⃣4️⃣4️⃣👁️🕷️💀❤️😎🇨🇦DjEago XO CAPALOT Records Check me out on my YouTube channel at Montana X Universe,Neutral
mikepeterson1962,Always Beautiful 🔥🔥🔥🔥🔥,Positive
xiseialraozpsulrdr,Prettiest feet 🔥😍,Neutral
mikeborb,🖤🖤🔥🖤🖤 😍,Neutral
gladys.alvarenga.9,Divina 😍,Neutral
weanjoe8319027114joewest,🐈‍⬛🫵🏿⚫️🖤🟫💣,Neutral
drshamshadmanzoor,❤️❤️❤️❤️❤️❤️,Neutral
bespoke_experiences,Love this Look,Positive
joewest7114,🎩🖤🐈‍⬛🕶️👑🤎🌺🩷,Neutral
josephwestjr,🐈‍⬛🎩🕶️🖤🩶🤎🧡,Neutral
moes_ibra,Why hiding your feet ??,Neutral
